Track Name,Artist,Density,Multi,Signatures,Syll.
You Broke My Heart,Drake,68.5,20.2,134,663
First Person Shooter (feat. J. Cole),Drake,63.1,19.1,102,534
MELTDOWN (feat. Drake),Drake,60.4,21.1,86,407
Slime You Out (feat. SZA),Drake,60.0,20.0,142,710
On The Radar Freestyle,Drake,61.4,19.7,140,709
Evil Ways (feat. J. Cole),Drake,57.9,19.9,148,744
Search & Rescue,Drake,72.2,10.3,86,836
The Shoe Fits,Drake,66.4,14.4,184,1275
Jimmy Cooks (feat. 21 Savage),Drake,60.0,19.2,96,500
Fair Trade (with Travis Scott),Drake,67.6,17.6,111,632
Rich Flex,Drake,59.5,20.9,107,511
Red Button,Drake,57.1,18.9,123,652
Who Told You (feat. Drake),Drake,52.8,30.5,71,233
On BS,Drake,70.3,15.3,115,751
WAIT FOR U (feat. Drake & Tems),Drake,66.6,21.0,90,428
We Caa Done (feat. Drake),Drake,76.5,7.8,27,345
Wick Man,Drake,48.9,22.1,135,610
STAYING ALIVE (feat. Drake & Lil Baby),Drake,64.9,13.0,56,430
Privileged Rappers,Drake,62.4,20.7,71,343
Wants and Needs (feat. Lil Baby),Drake,65.7,19.8,85,429
What’s Next,Drake,67.2,15.8,113,713
Stories About My Brother,Drake,62.8,14.4,158,1100
Major Distribution,Drake,61.1,22.7,85,375
TSU,Drake,69.4,13.4,123,918
Spin Bout U,Drake,55.8,23.3,106,455
Sticky,Drake,62.1,18.7,111,594
Lemon Pepper Freestyle (feat. Rick Ross),Drake,56.3,16.1,191,1185
Way 2 Sexy (with Future & Young Thug),Drake,49.4,32.4,55,170
Champagne Poetry,Drake,63.1,14.9,169,1134
Chicago Freestyle (feat. Giveon),Drake,61.5,21.9,108,494
Massive,Drake,60.8,21.7,62,286
Stars Align (with Drake),Drake,69.8,14.3,60,421
Girls Want Girls (with Lil Baby),Drake,74.6,13.0,67,515
BackOutsideBoyz,Drake,69.7,15.7,97,617
Talk To Me,Drake,77.9,14.8,102,689
In The Bible (with Lil Durk & Giveon),Drake,73.5,17.1,77,449
Hours In Silence,Drake,64.8,18.5,158,852
You're Mines Still (feat. Drake),Drake,71.9,18.5,103,558
Race My Mind,Drake,66.7,18.9,110,583
Laugh Now Cry Later (feat. Lil Durk),Drake,68.4,15.0,106,708
Circo Loco,Drake,59.1,24.2,104,430
No Friends In The Industry,Drake,64.0,16.3,124,763
Over The Top (feat. Drake),Drake,65.7,21.7,85,391
POPSTAR (feat. Drake),Drake,62.6,16.4,119,727
Currents,Drake,54.1,30.4,59,194
GREECE (feat. Drake),Drake,69.0,18.4,99,538
Pussy & Millions (feat. Travis Scott),Drake,67.0,13.3,62,467
Papi’s Home,Drake,62.0,20.4,141,692
